###❝Корень эсперанто❞,❝(полностью тот же) корень эсперанто❞   в строке означает、что хотя он имеет тот же приоритет、что и соответствующая строка замены、на практике замена строки (иероглифов) не выполняется.
Корень эсперанто##,руби с японским переводом##
adiaŭ,прощай
bis,бис
hura,ура!
ŭa,уа!
kia,какой
tia,такой
ĉia,всякий
kies,чей
nenia,никакой
ali,иной
alt,высокий
bel,красивый
bon,хороший
jun,молодой
nov,новый
sam,тот же
fort,сильный
grav,важный
kelk,несколько
last,последний
long,длинный
mult,много
plen,полный
riĉ,богатый
ruĝ,красный
facil,легкий
grand,большой
liber,свободный
rapid,быстрый
feliĉ,счастливый
proksim,близкий
fru,рано
pur,чистый
sol,единственный
ver,истинный
cert,уверен
nigr,чёрный
varm,тёплый
afabl,дружелюбный
blank,белый
dolĉ,сладкий
neces,необходимый
propr,собств.
simpl,простой
dekstr,правый
kuraĝ,смелый
trankvil,спокойный
blu,синий
dik,толстый
gaj,весёлый
hel,яркий
kar,дорогой
lac,усталый
san,здоровый
sat,сыт
just,справедливый
prav,правильный
pret,готовый
util,полезный
verd,зелёный
apart,отдельный
atent,внимательный
fremd,чужой
ĝust,правильный
komun,общий
larĝ,широкий
agrabl,приятный
divers,разный
intern,внутренний
sufiĉ,достаточный
kontent,доволен
profund,глубокий
mol,мягкий
pez,тяжёлый
sek,сухой
brun,коричневый
egal,равный
flav,жёлтый
griz,серый
kulp,виновный
lert,умелый
rekt,прямой
saĝ,мудрый
vast,широкий
ceter,остальной
freŝ,свежий
simil,похожий
kapabl,способный
serioz,серьёзный
efektiv,реальный
ordinar,обычный
akr,острый
fam,известный
ies,чей-то
avar,жадный
dens,густой
eben,ровный
fier,гордый
firm,твердый
nepr,непременно
plat,плоский
plur,много
surd,глухой
vigl,живой
fidel,верный
kviet,спокойный
matur,зрелый
sankt,святой
spert,опытный
subit,внезапный
taŭg,подходящий
honest,честный
konven,подходящий
plur,много
preciz,точный
strang,странный
delikat,нежный
ĝentil,вежливый
komfort,удобный
pacienc,терпеливый
special,особый
ĝeneral,общий
konstant,постоянный
lam,хромой
mut,немой
nud,голый
pal,бледный
ruz,хитрый
van,тщетный
acid,кислый
glat,гладкий
kler,образованный
krud,сырой
mild,мягкий
abund,обильный
blind,слепой
blond,блондин
ĉarm,очаровательный
etern,вечный
favor,благоприятный
graci,изящный
humil,смиренный
laŭt,громкий
sever,строгий
stult,глупый
fortik,крепкий
frenez,сумасшедший
kurioz,странный
privat,частный
sincer,искренний
evident,очевидный
oportun,удобный
prudent,благоразумный
sci/vol##,sci/vol##
diligent,усердный
proksim/um##,proksim/um##
ard,пылающий
avid,жадный
brav,смелый
ebri,пьян
krut,крутой
naiv,наивный
nobl,благородный
sobr,умеренный
humid,влажный
ident,идентичный
komik,смешной
kripl,калека
kruel,жестокий
moder,умеренный
sagac,проницательный
seren,спокойный
sprit,остроумный
akurat,точный
fervor,рьяный
inklin,склонный
ĵaluz,ревнивый
kapric,капризный
modern,современный
modest,скромный
nenies,ничей
normal,нормальный
sovaĝ,дикий
ekstrem,крайний
elegant,элегантный
eminent,выдающийся
komplet,полный
oficial,официальный
perfekt,идеальный
probabl,вероятный
reciprok,взаимный
indiferent,безразличный
inteligent,умный
amar,горький
imun,устойчивый
real,реальный
ties,того
unik,уникальный
vant,тщеславный
virg,девственный
aktiv,активный
civil,гражданский
ĉies,всех
elast,упругий
human,гуманный
intim,близкий
kaduk,дряхлый
koket,кокетливый
lojal,верный
malic,злобный
mir/ind##,mir/ind##
raŭk,хриплый
rigid,жёсткий
sekur,безопасный
solen,торжественный
tener,нежный
valid,действительный
abrupt,резкий
absurd,абсурдный
aktual,актуальный
arbitr,произвольный
aŭdac,смелый
ekzakt,точный
furioz,яростный
graved,беременная
klasik,классический
majest,величественный
nervoz,нервный
oblikv,наклонный
obstin,упрямый
plen/aĝ##,plen/aĝ##
social,социальный
subtil,тонкий
tragik,трагичный
absolut,абсолютный
kontant,наличный
popular,популярный
relativ,относительный
sin/don##,sin/don##
solidar,солидарный
vegetar,вегетарианский
familiar,близкий
grandioz,величественный
kolektiv,коллективный
sin/gard##,sin/gard##
kompetent,компетентный
universal,всеобщий
kvit,свободный
miop,близорукий
punc,алый
ranc,прогорклый
ĉast,целомудренный
ekstr,дополнительный
masiv,массивный
antikv,древний
arogant,высокомерный
konform,соответствующий
trivial,пустяковый
elokvent,красноречивый
kriminal,преступный
predikat,сказуемое
akut,острый
dual,двойной
hirt,торчащий
kalv,лысый
banal,банальный
cinik,циничный
gotik,готический
inert,инертный
obtuz,тупой
okult,оккультный
pasiv,пассивный
rigor,строгий
stoik,стойкий
analog,аналогичный
anonim,анонимный
arkaik,устаревший
diafan,прозрачный
efemer,мимолётный
erotik,эротический
fiktiv,вымышленный
formal,формальный
frivol,легкомысленный
intens,интенсивный
invers,обратный
konciz,краткий
konkav,вогнутый
mistik,мистический
neŭtr,нейтр.
vulgar,грубый
akcesor,второстепенный
apokrif,апокрифический
arĥaik,архаичный
burlesk,бурлескный
decimal,десятичный
diskret,сдержанный
fanatik,фанатичный
grotesk,гротескный
konkret,конкретный
kontinu,непрерывный
liberal,либеральный
monoton,монотонный
negativ,отрицательный
nominal,номинальный
pozitiv,положительный
radikal,радикальный
skeptik,скептичный
solvent,платежеспособный
abstrakt,абстрактный
aŭtonom,автономный
eventual,возможный
inkluziv,включающий
neŭtral,нейтральный
objektiv,объективный
ortodoks,ортодоксальный
primitiv,примитивный
provizor,временный
racional,рациональный
romantik,романтичный
sinoptik,обзорный
spontane,спонтанный
aŭtentik,подлинный
definitiv,окончательный
ekskluziv,исключительный
korelativ,корреляторный
respektiv,соответствующий
subjektiv,субъективный
transitiv,переходный
spekulativ,спекулятивный
impertinent,наглый
konservativ,консервативный
sentimental,сентиментальный
dek,десять
mil,тысяча
sep,семь
ses,шесть
tri,три
unu,один
cent,сто
kvar,четыре
kvin,пять
naŭ,девять
aŭ,или
nek,ни
sed,но
kvankam,хотя
plus,плюс
minus,минус
ĉe,у
kun,с вместе
per,через
pri,о
pro,из-за
sen,без
sub,под
sur,на
tra,через
apud,рядом
krom,кроме
laŭ,согласно
post,после
inter,между
super,над
trans,через
antaŭ,перед
ekster,вне
preter,мимо
kontraŭ,против
malgraŭ,несмотря
ĝi,его
ili,их
kio,что
oni,люди
ŝi,её
tio,это
ĉio,всё
nenio,ничто
tio ĉi##,tio ĉi##
dis,раз-
mal,противоположный
ĉef,главный
eks,бывший
mis,неправильный
pra,древний
dev,должен
dir,сказать
don,дать
est,быть
far,делать
fin,завершить
hav,иметь
kon,знать
leg,читать
lev,поднять
met,класть
mov,двигать
pet,просить
pov,мочь
rid,смеяться
sci,знать
sid,сидеть
ten,держать
ven,приходить
vid,видеть
viv,живой
vol,хотеть
ĝoj,радоваться
help,помочь
kred,верить
lern,учиться
loĝ,жить
mort,умереть
okaz,случиться
port,нести
pren,брать
sekv,следовать
send,послать
star,стоять
dezir,желать
labor,работать
milit,воевать
montr,показать
parol,говорить
ricev,получать
skrib,писать
ŝajn,казаться
vetur,ехать
demand,спрашивать
komenc,начать
kompren,понять
respond,отвечать
bat,бить
fal,падать
kri,кричать
kur,бежать
las,позволить
lum,светить
mir,удивляться
pag,платить
pas,пройти
reg,править
son,звучать
tim,бояться
tir,тянуть
aŭd,слышать
brul,гореть
dank,благодарить
dorm,спать
ferm,закрыть
flug,летать
halt,остановить
ĵet,бросать
kant,петь
kost,стоить
mank,недоставать
nask,рожать
okup,занимать
pens,думать
perd,терять
prem,давить
prov,пытаться
sent,чувствовать
turn,вращать
aĉet,купить
atend,ждать
bezon,нуждаться
kresk,расти
manĝ,есть
memor,помнить
serĉ,искать
trink,пить
konsil,советовать
permes,разрешать
postul,требовать
rakont,рассказывать
rigard,смотреть
rimark,заметить
ŝanĝ,изменить
vojaĝ,путешествовать
konstru,строить
prezent,представить
renkont,встретить
bru,шуметь
dub,сомневаться
lav,мыть
lud,играть
pen,стараться
vek,будить
vok,звать
aper,появиться
bril,светить
erar,ошибаться
fest,праздновать
frap,бить
gajn,выиграть
kapt,ловить
kaŝ,скрыть
kovr,покрыть
kuir,готовить
kuŝ,лежать
paŝ,шагать
plor,плакать
romp,ломать
salt,прыгать
serv,служить
tuŝ,касаться
vend,продавать
zorg,заботиться
batal,борьба
elekt,выбирать
esper,надеяться
koler,злиться
mezur,измерять
opini,считать
ordon,приказывать
plend,жаловаться
ripoz,отдыхать
salut,приветствовать
sufer,страдать
akcept,принимать
forges,забыть
kalkul,считать
komerc,торговать
konduk,вести
pardon,простить
silent,молчать
tranĉ,резать
konsent,согласиться
aŭskult,слушать
ban,купать
flu,течь
kre,создавать
mok,насмехаться
amuz,развлекать
ĉes,прекратить
efik,эффективный
gard,охранять
juĝ,судить
klin,наклонить
pend,висеть
puŝ,толкать
spir,дышать
stud,учить
ŝat,ценить
tond,стричь
traf,попасть
ating,достичь
decid,решать
estim,уважать
invit,пригласить
kurac,лечить
marŝ,маршировать
plaĉ,нравиться
ripet,повторять
ŝlos,запереть
ŝtel,красть
vizit,посетить
aranĝ,устроить
ekzist,существовать
instru,учить
intenc,намерение
kompat,жалеть
prefer,предпочитать
prepar,готовить
promen,гулять
promes,обещать
sukces,успех
konserv,сохранять
bol,кипеть
kis,целовать
obe,подчиняться
paf,стрелять
pel,гнать
pik,колоть
pun,наказать
sav,спасать
tus,кашлять
akir,получить
apog,поддерживать
atak,атаковать
bala,мести
blov,дуть
ĉas,охотиться
danc,танцевать
eduk,воспитывать
evit,избегать
fleg,ухаживать
glit,скользить
gvid,вести
ĝen,мешать
hejt,отопить
hont,стыдиться
imag,воображать
imit,подражать
komb,расчесывать
mend,заказать
miks,смешивать
naĝ,плавать
plug,пахать
pres,печатать
soif,жажда
spez,транзакция
ŝir,рвать
trem,дрожать
trov,найти
venk,победить
viŝ,стирать
volv,свёртывать
anonc,объявить
aprob,одобрять
avert,предупредить
merit,заслуживать
minac,угрожать
pentr,рисовать
posed,владеть
preĝ,молиться
rifuz,отказать
rilat,связан
ripar,чинить
skrap,скрести
ŝerc,шутить
tromp,обмануть
defend,защищать
desegn,рисовать
esting,тушить
inform,сообщать
kompar,сравнить
kondut,вести себя
konfes,признать
konsci,осознавать
kultur,выращивать
mensog,лгать
rezult,происходить
rikolt,собирать
streĉ,натянуть
ŝovel,копать
akompan,сопровождать
aparten,принадлежать
bedaŭr,сожалеть
konsist,состоять
organiz,организовать
progres,прогрессировать
respekt,уважать
riproĉ,упрекать
diferenc,отличаться
rekomend,рекомендовать
korespond,переписываться
enu,скучать
fid,доверять
ĝu,наслаждаться
hak,рубить
log,привлечь
pek,грешить
pes,взвесить
raz,брить
dron,тонуть
fajf,свистеть
fand,плавить
farm,арендовать
fart,быть
frot,тереть
ĝem,стонать
krev,лопнуть
kudr,шить
mord,кусать
muel,молоть
nutr,кормить
odor,пахнуть
rajd,ехать
solv,решать
taks,оценить
teks,ткать
tent,соблазнять
urĝ,срочный
babil,болтать
detru,разрушать
difin,определять
distr,развлекать
diven,угадывать
divid,делить
etend,расширять
evolu,развиваться
forĝ,ковать
frand,смаковать
grimp,лезть
hezit,колебаться
kroĉ,цеплять
laŭd,хвалить
mason,строить
ofert,предлагать
ornam,украшать
petol,шалить
sonĝ,мечтать
stern,раскладывать
supoz,предполагать
ŝirm,защита
ŝpar,экономить
ŝtop,закупорить
ŝuld,должен
ŝvel,набухать
toler,терпеть
verŝ,лить
aspekt,казаться
daŭr/ig##,daŭr/ig##
difekt,повредить
diskut,обсуждать
domaĝ,жаль
ekscit,возбуждать
ekzerc,тренировать
esplor,исследовать
esprim,выразить
konsol,утешать
murmur,бормотать
prezid,председательствовать
signif,значить
skulpt,ваять
traduk,переводить
ekskurs,поехать на экскурсию
ekzamen,проверять
komunik,общаться
koncern,касается
konstat,подтвердить
protekt,защищать
protest,протестовать
renvers,опрокинуть
surpriz,удивить
konsider,учитывать
persekut,преследовать
reprezent,представлять
bak,печь
ben,благословить
boj,лаять
bor,сверлить
ced,уступить
cit,цитировать
lek,лизать
rab,грабить
rav,очаровать
rem,грести
rev,мечтать
seg,пилить
sku,трясти
ted,надоедать
teg,покрыть
abon,подписка
dung,нанять
envi,завидовать
flar,нюхать
fond,основать
frit,жарить
friz,завить
gest,жестикулировать
glad,гладить
glut,глотать
ĵur,клясться
kned,месить
maĉ,жевать
melk,доить
migr,бродить
munt,собирать
ofer,жертвовать
pent,раскаяться
pruv,доказать
pump,качать
putr,гнить
ramp,ползти
risk,рисковать
ronk,храпеть
rost,жарить
sven,упасть в обморок
ŝov,сдвинуть
ŝut,сыпать
tajl,резать
tord,крутить
tren,тащить
vari,изменять
velk,увядать
adici,сложить
admir,восхищаться
admon,увещевать
adopt,усыновить
akcel,ускорять
atest,свидетельствовать
ĉerp,черпать
degel,таять
deleg,делегировать
fleks,гнуть
flirt,флиртовать
hered,унаследовать
influ,влиять
kares,ласкать
medit,размышлять
naŭz,тошнить
osced,зевать
paŝt,пасти
paŭz,остановиться
pinĉ,щипать
plekt,плести
regal,угощать
ribel,бунтовать
sopir,тосковать
sorĉ,околдовать
strik,бастовать
sufok,душить
sving,махать
ŝarg,заряжать
ŝmir,мазать
trakt,обрабатывать
tremp,погружать
afrank,оплатить
asekur,застраховать
balanc,качать
barakt,бороться
dediĉ,посвятить
deklar,заявить
destin,предназначить
disput,спорить
escept,исключать
festen,пировать
frakas,разбить
gratul,поздравлять
ilustr,иллюстрировать
import,импортировать
insist,настаивать
instal,установить
instig,побуждать
insult,оскорблять
komand,приказывать
komisi,поручить
konfid,доверять
konfit,засахарить
konfuz,смущать
konkur,соревноваться
kritik,критиковать
observ,наблюдать
penetr,проникать
perfid,предать
proced,действовать
raport,доклад
reklam,рекламировать
rezign,отказаться
rezist,сопротивляться
rifuĝ,укрыться
brak/um##,brak/um##
civiliz,цивилизовать
ĉagren,огорчать
de/pend##,de/pend##
disting,различать
eksplod,взорваться
garanti,гарантировать
komplez,любезный
kondamn,осудить
konfirm,подтвердить
konjekt,предполагать
konklud,заключать
kontrol,проверять
konvink,убеждать
operaci,оперировать
plen/um##,plen/um##
pretend,требовать
suspekt,подозревать
turment,мучить
distribu,распределять
fanfaron,хвастать
kontrakt,заключать
mastr/um##,mastr/um##
prokrast,отложить
administr,управлять
el/turn/iĝ##,el/turn/iĝ##
entrepren,предпринимать
dec,подходить
juk,чесаться
lul,укачивать
vad,бродить
vag,бродить
vet,ставить
vom,рвать
zum,жужжать
ador,обожать
agit,подстрекать
akuz,обвинять
alud,намекать
bapt,крестить
bind,переплести
blek,реветь
bred,разводить
buĉ,убить
ĉif,мять
dikt,диктовать
dres,дрессировать
ekip,оснащать
est/ig##,est/ig##
fast,поститься
flat,льстить
flik,латать
fuĝ,бежать
fuŝ,неуклюжий
garn,украсить
grat,царапать
hav/ig##,hav/ig##
izol,изолировать
jung,запрячь
lukt,бороться
muĝ,реветь
opon,противиться
palp,ощупывать
pekl,солить
pere,гибнуть
pli/ig##,pli/ig##
sark,полоть
sekc,рассекать
sorb,впитывать
spit,пренебречь
suĉ,сосать
svat,сватать
tajp,печатать
tern,чихать
tikl,щекотать
tint,звенеть
trik,вязать
trud,навязывать
vart,ухаживать
adapt,адаптировать
aplik,применять
asert,утверждать
asist,помогать
balot,голосовать
ĉe/est##,ĉe/est##
delir,бредить
depon,сдать
deput,назначить
enket,опрос
eskap,убежать
falĉ,косить
flagr,пылать
for/est##,for/est##
grinc,скрипеть
ignor,игнорировать
impet,рваться
incit,провоцировать
indik,указывать
insid,коварный
inund,затопить
kraĉ,плевать
liver,доставить
menci,упомянуть
modif,изменить
ofend,оскорбить
rezon,рассуждать
rivel,раскрыть
start,начать
susur,шелестеть
ŝpin,прясть
trejn,тренировать
venĝ,мстить
abstin,воздерживаться
aflikt,огорчать
altern,чередовать
balbut,заикаться
cirkul,циркулировать
deĵor,дежурить
denunc,обвинять
de/ten##,de/ten##
dev/ont/ig##,dev/ont/ig##
digest,переваривать
dispon,располагать
dorlot,баловать
eksped,отправить
el/don##,el/don##
establ,учредить
flustr,шептать
grimac,гримасничать
grumbl,ворчать
implik,впутать
indign,возмущаться
indulg,снисходить
infekt,заразить
injekt,вводить
inspir,вдохновлять
invent,изобрести
klopod,стараться
kolizi,столкнуться
kombin,соединять
kompon,составлять
konsum,потреблять
korekt,исправить
lubrik,смазывать
manovr,маневрировать
plonĝ,нырять
preleg,лекция
propon,предложить
provok,провоцировать
recenz,рецензировать
redakt,редактировать
redukt,уменьшать
revizi,проверить
ŝpruc,брызгать
aplaŭd,аплодировать
blasfem,богохулить
bon/vol##,bon/vol##
brokant,торговать б/у
eksport,экспортировать
ekzekut,казнить
gust/um##,gust/um##
iniciat,начать
kalumni,клеветать
kompens,компенсировать
komplik,усложнять
kontest,оспорить
manipul,управлять
neglekt,пренебречь
persist,упорствовать
prononc,произносить
prosper,процветать
reflekt,отражать
re/form##,re/form##
subtrah,вычитать
ŝancel,шатать
televid,смотреть телевизор
determin,определить
ekspluat,эксплуатировать
koncentr,сосредоточить
mistifik,одурачить
preskrib,прописать
revoluci,восстать
riverenc,поклониться
interpret,переводить
kompromit,подвергнуть риску
multiplik,умножать
propagand,пропагандировать
konversaci,беседовать
interpelaci,допрашивать
erp,боронить
kov,высиживать
lut,паять
pep,чирикать
tan,дубить
agac,раздражать
brod,вышивать
brog,ошпарить
ĉiz,резать
edif,воспитывать
fajl,точить
krak,трескаться
kroz,круиз
pist,толочь
rasp,тереть
rast,грабить
rigl,запереть
rukt,рыгать
sibl,свистеть
skiz,набросать
sput,плевать
steb,шить
stuk,штукатурить
ŝim,плесень
torn,точить
trot,рысь
urin,мочиться
varb,вербовать
adult,изменять
afekt,притворяться
akuŝ,роды
arest,арестовать
asign,назначить
atenc,напасть
draŝ,молотить
drink,пьянствовать
ekzil,изгнать
filtr,фильтровать
infuz,вливать
kribr,просеивать
parad,парадировать
rabot,строгать
rafin,очищать
satur,насытить
sieĝ,осаждать
skerm,фехтовать
strab,косить
ŝmac,чмокнуть
uzurp,узурпировать
veget,расти
border,окаймлять
ĉikan,придираться
degrad,понижать
diboĉ,разврат
distil,дистиллировать
drapir,драпировать
gargar,полоскать
gravur,гравировать
guvern,учить
ilumin,освещать
inokul,прививать
intrig,интриговать
ĵongl,жонглировать
kartav,картавить
kontuz,ушибить
likvid,ликвидировать
makler,посредничать
plaŭd,плескаться
predik,проповедовать
rembur,набивать
ventol,проветривать
deĉifr,расшифровать
degener,деградировать
diskont,дисконтировать
ferment,бродить
kalfatr,конопатить
kolport,торговать
kompost,набирать
konspir,заговор
konvert,обратить
paraliz,парализовать
proklam,провозгласить
singult,икать
ĉarpent,строить
hipokrit,лицемерить
intermit,прерываться
konstern,ошеломить
marĉand,торговаться
kapitulac,сдаться
kaŭteriz,прижечь
komentari,комментировать
koment,комментировать
poz,позировать
vak,пустовать
boks,боксировать
ĝir,перевести
kirl,взбивать
klak,щелкать
kluk,кудахтать
knar,скрипеть
murd,убить
pled,обжаловать
sond,зондировать
tatu,татуировать
abdik,отречься
abort,прервать
agoni,агонизировать
aklam,приветствовать
amput,ампутировать
aneks,присоединить
aspir,стремиться
deriv,выводить
feder,объединять
impon,впечатлять
invad,вторгаться
kaŭr,притаиться
klaĉ,сплетничать
kliŝ,штамповать
kotiz,взнос
marin,мариновать
miaŭ,мяукать
modul,модулировать
refut,опровергнуть
rikan,насмехаться
streb,стремиться
svarm,кишеть
ŝveb,парить
absorb,поглощать
akapar,монополизировать
analiz,анализировать
asimil,ассимилировать
asperg,опрыскивать
atribu,приписывать
aŭgur,предсказывать
bojkot,бойкотировать
cenzur,цензурировать
dedukt,выводить
deklam,декламировать
dekolt,вырез
indukt,индуцировать
kompil,составлять
konced,признать
konker,завоевать
korupt,подкупать
kverel,ссориться
lament,горевать
narkot,одурманить
stimul,побуждать
strigl,чистить
ŝrump,сморщиться
amortiz,амортизировать
anticip,предвосхитить
apelaci,обжаловать
bankrot,обанкротиться
bombard,бомбардировать
emancip,освободить
inspekt,проверять
katekiz,катехизировать
koincid,совпадать
konfisk,конфисковать
konsekr,освятить
konsult,консультировать
legitim,узаконить
mobiliz,мобилизовать
pilgrim,паломничать
improviz,импровизировать
inaŭgur,открыть
karambol,столкнуться
kateĥiz,катехизировать
klasifik,классифицировать
kontribu,вносить вклад
litograf,литографировать
prostitu,проституировать
centraliz,централизовать
stenograf,стенографировать
ekskomunik,отлучить
karakteriz,характеризовать
aĵ,вещь
ant,-ущий
ebl,возможн
iĝ,стать
ind,ценный
int,завершённый
ism,изм
ist,специалист
obl,кратный
ont,будущий
estr,начальник
aĉ,плохой
ĉj##,ĉj##
end,обяз.
ing,держатель
ajn,любой
ĉi##,ĉi##
eĉ##,eĉ##
for,далеко
iam,когда-то
iom,немного
jam,уже
jen,вот
jes,да
kie,где
mem,сам
nun,сейчас
nur,только
pli,более
plu,ещё
tie,там
tre,очень
tro,слишком
tuj,сразу
ĉie,везде
ĵus,только что
kiam,когда
plej,наиболее
tial,поэтому
tiam,тогда
tiel,так
tiom,столько
ĉiam,всегда
nenie,нигде
ankaŭ,тоже
neniam,никогда
baldaŭ,скоро
hieraŭ,вчера
hodiaŭ,сегодня
morgaŭ,завтра
tie ĉi##,tie ĉi##
almenaŭ,по крайней мере
ankoraŭ,ещё
preskaŭ,почти
tiel ĉi##,tiel ĉi##
oft,часто
ial,поэтому
iel,как-то
volont,охотно
des,тем более
neniom,ничуть
ĉial,по всем причинам
ĉiom,всё
ia/foj##,ia/foj##
nenial,без причины
neniel,никак
parker,наизусть
foj,раз
hom,человек
jar,год
kap,голова
kor,сердце
lok,место
man,рука
nom,имя
tag,день
ter,земля
vir,мужчина
voj,путь
afer,дело
amik,друг
form,форма
kamp,поле
land,страна
mond,мир
naci,нация
patr,отец
temp,время
vort,слово
flank,бок
infan,ребёнок
patr/in##,patr/in##
ĉambr,комната
sinjor,господин
akv,вода
arb,дерево
art,искусство
dom,дом
edz,муж
fil,сын
har,волос
hor,час
lit,кровать
mar,море
mon,деньги
mur,стена
pac,мир
pec,кусок
sun,солнце
urb,город
bild,изображение
bird,птица
buŝ,рот
frat,брат
hejm,дом
knab,мальчик
kort,двор
libr,книга
mont,гора
okul,глаз
part,часть
pied,нога
pord,дверь
rajt,право
tabl,стол
vent,ветер
vest,одежда
fingr,палец
frukt,плод
kolor,цвет
leter,письмо
lingv,язык
maten,утро
popol,народ
punkt,точка
rimed,средство
valor,ценность
ĉeval,лошадь
famili,семья
fraŭl,холостяк
person,человек
semajn,неделя
vesper,вечер
vizaĝ,лицо
fenestr,окно
aer,воздух
aĝ,возраст
cel,цель
fer,железо
ide,идея
kat,кот
kol,шея
mez,средний
naz,нос
nub,облако
ord,порядок
pan,хлеб
roz,роза
best,зверь
bord,берег
brak,рука
dent,зуб
fajr,огонь
fiŝ,рыба
flor,цветок
glas,стакан
hund,собака
korp,тело
lakt,молоко
lign,дерево
lini,линия
mark,метка
neĝ,снег
nokt,ночь
onkl,дядя
orel,ухо
plum,перо
pluv,дождь
rond,круг
sang,кровь
seĝ,стул
spec,вид
stat,состояние
supr,верх
ŝip,корабль
vitr,стекло
angul,угол
daŭr,постоянство
dolor,боль
gazet,газета
kaŭz,причина
kutim,привычка
minut,минута
monat,месяц
natur,природа
nombr,число
paper,бумага
plank,пол
river,река
somer,лето
staci,станция
strat,улица
suker,сахар
ŝton,камень
vagon,вагон
veter,погода
vintr,зима
aŭtun,осень
ĉapel,шляпа
direkt,направление
kolekt,коллекция
moment,мгновение
plezur,удовольствие
vilaĝ,деревня
ekzempl,пример
ĝarden,сад
histori,история
printemp,весна
bov,корова
ink,чернила
kaf,кофе
kok,петух
kuk,торт
kuz,двоюродный брат
lag,озеро
lim,граница
lun,луна
maj,май
pak,пакет
sak,мешок
sum,сумма
tru,дыра
vin,вино
anim,душа
azen,осёл
benk,скамья
dors,спина
foli,лист
font,источник
fund,основание
genu,колено
gren,зерно
grup,группа
herb,трава
juli,июль
juni,июнь
kart,карта
klas,класс
korb,корзина
kruc,крест
krur,нога
lang,язык
leĝ,закон
lund,понедельник
mard,вторник
mart,март
ofic,должность
ombr,тень
paĝ,страница
pork,свинья
poŝ,карман
radi,радио
reĝ,король
senc,смысл
stel,звезда
ŝaf,овца
verk,произведение
voĉ,голос
adres,адрес
april,апрель
brust,грудь
buter,масло
donac,подарок
glaci,лёд
kuler,ложка
mastr,хозяин
muzik,музыка
numer,номер
poŝt,почта
prunt,заём
sabat,суббота
ŝtat,государство
ŝtup,ступень
teler,тарелка
terur,ужас
vapor,пар
insekt,насекомое
januar,январь
ĵaŭd,четверг
kovert,конверт
krajon,карандаш
manier,способ
objekt,объект
oktobr,октябрь
plafon,потолок
region,регион
religi,религия
spirit,дух
arĝent,серебро
danĝer,опасность
decembr,декабрь
dimanĉ,воскресенье
februar,февраль
horloĝ,часы
merkred,среда
novembr,ноябрь
produkt,продукт
vendred,пятница
septembr,сентябрь
bar,преграда
bek,клюв
fak,спец
fum,дым
gas,газ
gut,капля
jak,пиджак
kel,подвал
kuv,ванна
lip,губа
nep,внук
nev,племянник
not,заметка
ole,масло
ond,волна
ost,кость
par,пара
pom,яблоко
pot,горшок
rad,колесо
ret,сеть
sal,соль
sap,мыло
sem,семя
sud,юг
sup,суп
ŝu,обувь
tas,чашка
tol,лён
tuk,ткань
ung,ноготь
val,долина
vic,ряд
barb,борода
